GAME_DATE,LAST_NAME,FIRST_NAME,FULL NAME,DRAFTED?,Tier,ROUND,PICK,TEAM,POSITION1,POSITION2,CLASS,SCOUT_NAME,PLAYER_SCHOOL,CONFERENCE,HEIGHT_IN,WEIGHT,THROWING_SIDE_R_L,BATTING_SIDE_R_L_S,OPPONENT_SCHOOL,OPPONENT_CONFERENCE,GAME,INNINGS_PITCHED,PITCHES_TOTAL,HITS_ALLOWED,RUNS_ALLOWED,STOLEN_BASES_ALLOWED,WALKS,GROUNDOUTS,FLYOUTS,STRIKE_BALL_PERCENTAGE,HITS_ALLOWED_LEFT_SIDE,HITS_ALLOWED_MIDDLE,HITS_ALLOWED_RIGHT_SIDE,FASTBALL_VELO_MIN,FASTBALL_VELO_MAX,TOTAL_SWINGS_FASTBALL,SWINGS_AND_MISSES_FASTBALL,CHASE_SWINGS_FASTBALL,HARD_CONTACT_FASTBALL,BREAKING_BALL_VELO_MIN,BREAKING_BALL_VELO_MAX,TOTAL_SWINGS_BREAKING_BALL,SWINGS_AND_MISSES_BREAKING_BALL,CHASE_SWINGS_BREAKING_BALL,HARD_CONTACT_BREAKING_BALL,THIRD_PITCH_VELO_MIN,THIRD_PITCH_VELO_MAX,TOTAL_SWINGS_THIRD_PITCH,SWINGS_AND_MISSES_THIRD_PITCH,CHASE_SWINGS_THIRD_PITCH,HARD_CONTACT_THIRD_PITCH,FOURTH_PITCH_VELO_MIN,FOURTH_PITCH_VELO_MAX,SWING_FOURTH,SWING_MISS_FOURTH,CHASE_FOURTH,HARD_FOURTH,PRESENT_FASTBALL_GRADE_20_80,PRESENT_CURVE_GRADE_20_80,PRESENT_SLIDER_GRADE_20_80,PRESENT_CHANGE_GRADE_20_80,PRESENT_OTHER_GRADE_20_80,PRESENT_CONTROL_GRADE_20_80,FUTURE_FASTBALL_GRADE_20_80,FUTURE_CURVE_GRADE_20_80,FUTURE_SLIDER_GRADE_20_80,FUTURE_CHANGE_GRADE_20_80,FUTURE_OTHER_GRADE_20_80,FUTURE_CONTROL_GRADE_20_80,FB_PITCH_TYPE,BB_PITCH_TYPE,THIRD_PITCH_TYPE,FOURTH_PITCH_TYPE,COMMENTS,PLAYERID,SCHOOLID,SCOUTID,GAMEKEY,AVG Grade
04/27/2018,Bowlan,Jonathan,"Bowlan, Jonathan",Y,1,2,58,Royals,P,,Jr.,Jamie Quolas,University of Memphis,American Athletic Conference,78,262,R,R,University of South Florida,American Athletic Conference,University of Memphis_AT_University of South Florida_04/28/2018,9,127,4,2,1,0,6,4,0.677,1,2,1,91,96,25,9,0,1,85,87,9,13,4,3,83,86,3,3,0,0,,,,,,,65,,50,40,,45,70,,50,45,,50,Four-Seam,Slider,Change-up,,"Jonathan Bowlan is a strong, solid and huge frame with little room for future physical development. He consistently shoves 93-94mph with great hip to shoulder separation. With little low-half effort, he touched 96 mph. He is a workhorse with a durable arm. Jonathan projects as a middle of the rotation starter with a plus-plus fastball and average slider.",1794,311,84,783,49
04/07/2018,Bowlan,Jonathan,"Bowlan, Jonathan",Y,1,2,58,Royals,RHP,,Jr.,Michael_Cuva,University of Memphis,American Athletic Conference,78,262,R,R,University of Cincinnati,American Athletic Conference,University of Memphis_AT_University of Cincinnati_04/07/2018,7,,6,0,1,1,6,9,65.8,1,2,3,86,96,39,5,0,2,77,85,11,2,0,0,80,81,6,4,1,0,,,,,,,50,45,,45,,50,60,55,,45,,50,,,,,,1794,87,2,7015,47
02/23/2018,Kilkenny,Mitchell,"Kilkenny, Mitchell",Y,1,2C,76,Rockies,P,,Jr.,Justin Herbert,Texas A&M University,SEC,75,205,R,R,Cornell University,The Ivy League,Cornell University_AT_Texas A&M University,6.33,,1,0,0,1,5,5,67.4,0,1,0,90,95,33,9,3,0,76,82,1,0,0,0,79,83,2,0,0,0,87,90,9,4,4,0,50,35,45,40,45,60,60,40,50,45,55,65,,,,,,828,212,18,1181,50
04/19/2018,Kilkenny,Mitchell,"Kilkenny, Mitchell",Y,1,2C,76,Rockies,P,,Jr.,Kelly Ramsey,University Of Texas A&M,SEC,75,205,R,R,University Of Tennessee,SEC,University Of Texas A&M_AT_University Of Tennessee_04/21/2018,6,100,5,4,0,1,6,4,60,0,2,3,86,90,22,14,2,0,73,77,9,6,2,2,80,83,15,4,2,3,78,80,,,,,50,45,60,,,65,60,50,70,,,70,4-Seam,Curveball,Slider,,"Throws from lower 3/4 arm slot, delivery is fluid and finishes balanced in good fielding position. Has a really good pick-off move to 1st. Mitchell is very athletic and gets off the mound quickly to field the bunt. Made 2 nice plays on good bunts up the 1st base line. FB tops out at 91, has a good slider and repeats delivery on all pitches.",828,285,10,550,52
03/02/2018,Richan,Paul,"Richan, Paul",Y,1,2C,78,Cubs,P,,Jr.,"McCann, Ruairi",University of San Diego,West Coast,75,200,R,R,"Indiana University, Bloomington",Big Ten,"Indiana University, Bloomington_AT_University of San Diego_03/02/2018",4.7,,9,8,0,1,7,3,72.6,5,1,3,90,93,24,2,1,5,73,79,26,9,7,3,80,82,1,1,0,0,,,,,,,50,45,50,40,,60,60,55,65,50,,65,,,,,,841,193,37,1948,52
02/15/2018,Wong,Jake,"Wong, Jake",Y,1,3,80,Giants,P,,Jr.,Ryan Hutchinson,Grand Canyon University,WAC,74,210,R,R,Texas Christian Universtiy,Big 12,Texas Christian University_AT_Grand Canyon University,6,,2,0,0,2,4,5,60,0,0,2,92,95,27,8,15,6,77,78,3,1,3,0,84,86,3,1,2,0,,,,,,,60,50,,55,,55,70,55,,60,,55,,,,,,338,478,99,,55
03/02/2018,Wong,Jake,"Wong, Jake",Y,1,3,80,Giants,P,,Jr.,Ryan Hutchison,Grand Canyon University,WAC,74,210,R,R,CSUN,Big West Confernece,CSUN_at_Grand Canyon University,5.3,,9,5,0,1,5,7,64,2,1,6,89,93,26,6,9,7,78,78,4,3,3,0,80,86,7,6,6,1,,,,,,,60,50,,55,,55,70,55,,60,,55,,,,,,338,584,108,2480,55
03/07/2018,Wong,Jake,"Wong, Jake",Y,1,3,80,Giants,P,,Jr.,Ryan Hutchison,Grand Canyon University,WAC,74,210,R,R,Penn State University,Big Ten,Penn State University_at_Grand Canyon University,6,,4,0,0,0,4,3,68,1,2,1,88,92,27,8,18,3,75,77,10,8,9,0,80,86,6,1,3,0,,,,,,,60,50,,55,,55,70,55,,60,,55,,,,,,338,1241,80,2948,55
04/05/2018,Wong,Jake,"Wong, Jake",Y,1,3,80,Giants,P,,Jr.,Ryan Hutchison,Grand Canyon University,WAC,74,210,R,R,Utah Valley University,WAC,Utah Valley University_at_Grand Canyon University,8,,11,2,0,2,12,2,67,4,3,4,87,93,27,2,16,9,73,76,7,5,6,0,69,75,2,2,2,0,,,,,,,60,50,,55,,55,70,55,,60,,55,,,,,,338,396,21,4326,54
03/22/2018,Pilkington,Konnor,"Pilkington, Konnor",Y,1,3,81,White Sox,P,,Jr.,Zach Tallevast,Mississippi State University,Southeastern Conference,75,228,L,L,University of Missouri,Southeastern Conference,Mississippi State University_AT_University of Missouri_03/23/2018,5.2,,9,2,1,2,5,6,62.00%,2,2,5,84,90,30,5,7,4,74,79,3,0,2,0,79,84,13,5,7,3,80,85,2,1,0,1,50,55,50,55,,55,55,60,55,60,,55,,,,,,25,399,56,2094,54
03/16/2018,Knight,Blaine,"Knight, Blaine",Y,1,3,87,Orioles,P,0,Jr.,M.Steward,Arkansas,SEC,75,170,R,R,Kentucky,SEC,1,4.67,,6,2,0,1,3,5,60,2,3,1,89,95,21,5,0,4,82,86,3,0,0,0,73,75,0,0,0,0,81,84,5,1,0,0,60,45,55,50,,65,65,55,60,55,,70,,,,,,318,61,86,1661,55
03/09/2018,Knight,Blaine,"Knight, Blaine",Y,1,3,87,Orioles,P,0,Jr.,M.Steward,University of Arkansas,SEC,75,170,R,R,Kent State,Mid-American,1,6,,4,1,0,0,8,4,64,1,1,2,89,95,28,3,0,2,78,86,7,2,1,0,76,78,0,0,0,0,81,85,3,1,0,0,60,45,55,45,,65,65,50,60,50,,70,,,,,,318,6,30,2977,55
02/16/2018,Knight,Blaine,"Knight, Blaine",Y,1,3,87,Orioles,P,,Jr.,Maddox Steward,University of Arkansas,SEC,75,170,R,R,Bucknell,Patriot League,Bucknell University_AT_University of Arkansas,5,,,,,2,3,7,70,,,,87,95,23,5,1,1,74,84,4,3,,,69,82,2,1,1,,80,81,2,,,,60,50,55,45,,70,65,55,60,45,,70,,,,,,318,70,51,,54
04/22/2018,Feltman,Durbin,"Feltman, Durbin",Y,1,3,100,Red Sox,CL,,Jr.,Caleb Watkins,Texas Christian University,Big 12,72,190,R,R,Baylor University,Big 12,Texas Christian University_AT_Baylor University_04/22/2018,1,,0,0,0,0,0,1,70,0,0,0,93,97,5,3,1,0,83,84,0,0,0,0,81,83,0,0,0,0,,,,,,,65,,55,40,,50,70,,60,45,,55,,,,,,2045,182,46,3622,49
04/12/2018,Eastman,Colton,"Eastman, Colton",Y,2,4,107,Phillies,P,,Jr.,"McCann, Ruairi","California State University, Fullerton",Big West,75,200,R,R,San Diego State University,Mountain West,"California State University, Fullerton_AT_San Diego State University_04/13/2018",7,101,6,3,1,2,8,5,72.3,2,2,2,87,93,27,3,0,3,71,79,10,7,4,1,78,83,12,4,2,1,,,,,,,45,40,,45,,50,60,55,,60,,60,,,,,,1905,575,91,3195,44
04/06/2018,Beck,Tristan,"Beck, Tristan",Y,2,4,112,Braves,P,,Jr.,Matt Johnson,Stanford University,Pacific-12 Conference,76,190,R,R,UCLA,Pacific-12 Conference,Stanford University_AT_UCLA_04/06/2018,6.33,,8,3,0,2,5,8,64,4,0,4,91,95,24,5,2,4,76,82,7,1,1,1,81,85,6,1,0,2,87,89,2,1,1,1,60,45,30,35,,50,60,60,30,40,,50,,,,,,2186,598,60,8739,41
05/05/2018,Shortridge,Aaron,"Shortridge, Aaron",Y,2,4,114,Pirates,P,,Jr.,Andrew Pop,"University of California, Berkeley",Pacific-12 Conference,75,196,R,,University of Southern California,Pacific-12 Conference,"University of California, Berkeley_AT_University of Southern California_05/06/2018",9,121,10,2,0,0,7,700.00%,66.0,3,5,2,82,88,38,3,5,6,71,74,4,1,2,0,75,83,11,2,2,4,,,,,,,40,,30,35,,45,55,,40,50,,60,2-Seam,Slider,Changeup,,,1875,503,89,4243,32
04/13/2018,Shortridge,Aaron,"Shortridge, Aaron",Y,2,4,114,Pirates,P,,Jr.,Malcolm Mackenzie,University of California at Berkeley,Pac 12,75,196,R,,Washington State University,Pac 12,"University of California, Berkeley_AT_Washington State University_04/13/2018",7,,7,2,1,2,6,8,50,1,2,4,86,92,33,15,2,11,70,75,5,3,2,1,76,82,10,8,1,1,,,,,,,20,,30,25,,30,25,,30,30,,35,,,,,,1875,276,85,3336,38
02/24/2018,Wymer,Sean,"Wymer, Sean",Y,2,4,116,Blue Jays,P,,Jr.,Caleb Watkins,Texas Christian University,Big 12,73,210,R,R,Long Beach State,DI,Long Beach State_at_Texas Christian University,4,,4,2,1,1,6,2,66.7,1,1,2,91,93,17,0,2,2,78,84,11,1,3,1,84,85,6,3,2,0,,,,,,,60,45,,40,,55,65,50,,50,,60,,,,,,2823,568,108,901,52
04/21/2018,Plassmeyer,Michael,"Plassmeyer, Michael",Y,2,4,118,Mariners,P,,Jr.,Z. Tallevast,University of Missouri,Southeastern Conference,74,197,L,L,Vanderbilt University,Southeastern Conference,Vanderbilt University_AT_University of Missouri_04/21/2018,5.67,,8,5,1,1,4,6,73.2,1,5,2,84,91,25,8,2,5,73,77,6,2,2,1,75,79,7,3,3,2,78,80,6,2,1,0,50,50,50,55,,60,55,50,55,55,,60,,,,,,824,533,76,3555,55
03/02/2018,Plassmeyer,Michael,"Plassmeyer, Michael",Y,2,4,118,Mariners,P,,Jr.,Zach Tallevast,University of Missouri,Southeastern Conference,75,199,L,L,"University of Maryland, Baltimore County",America East Conference,"University of Maryland, Baltimore County_AT_University of Missouri_03/03/2018",6,,2,2,0,1,8,3,62,1,0,1,82,88,12,2,1,2,73,77,3,0,1,0,76,80,4,2,2,0,77,79,2,1,1,0,58,55,58,56,,59,63,58,61,55,,61,,,,,,824,677,114,2443,52
04/07/2018,Feltner,Ryan,"Feltner, Ryan",Y,2,4,126,Rockies,P,,Jr.,Anthony_Osnacz,The Ohio State University,Big 10,76,195,R,R,University of Iowa,Big 10,The Ohio State University_AT_University of Iowa_04/07/2018,4,,6,2,0,3,6,0,61.1,3,0,3,90,95,23,3,1,3,77,81,1,0,0,0,80,85,6,2,1,1,,,,,,,70,40,,45,,30,75,45,,50,,45,,,,,,1847,1733,66,6964,50
04/21/2018,Feltner,Ryan,"Feltner, Ryan",Y,2,4,126,Rockies,P,,Jr.,Charlie_Riggs,The Ohio State University,Big 10,76,195,R,R,"Indiana University, Bloomington",Big 10,"Indiana University, Bloomington_AT_The Ohio State University_04/21/2018",5.33,114,6,4,1,6,8,2,61.4,1,3,2,87,96,32,5,1,0,75,81,11,6,6,0,79,86,15,1,1,0,,,,,,,75,50,,45,,45,75,55,,50,,55,4-Seam,Curveball,Changeup,,,1847,63,10,2921,54
03/17/2018,Weiss,Ryan,"Weiss, Ryan",Y,2,4,129,Diamondbacks,P,,RS-So.,Matthew_Johnson,Wright State University,Horizon League,76,205,R,R,Oakland University,Horizon League,Oakland University_AT_Wright State University_03/16/2018,8,,4,0,1,0,10,4,60.6,3,0,1,88,93,30,0,0,1,73,79,5,4,2,0,80,85,4,2,0,0,,,,,,,55,50,,45,,65,60,55,,50,,65,,,,,,1850,95,93,7115,50
04/07/2018,Weiss,Ryan,"Weiss, Ryan",Y,2,4,129,Diamondbacks,P,,RS-So.,Robert_Frey,Wright State University,Horizon League,76,205,R,R,University of Illinois at Chicago,Horizon League,Wright State University_AT_University of Illinois at Chicago_04/06/2018,6.33,,7,2,,2,8,5,67.3,5,1,1,90,93,28,4,1,3,74,76,4,2,2,,81,83,5,2,2,,,,,,,,50,45,45,,,45,60,45,50,,,55,,,,,,1850,272,85,3702,44
04/21/2018,Weiss,Ryan,"Weiss, Ryan",Y,2,4,129,Diamondbacks,P,,RS-So.,Theo_Mackie,Wright State University,Horizon League,76,205,R,R,Oakland University,Horizon League,Wright State University_AT_Oakland University_04/21/2018,3,85,3,1,0,0,9,5,70.58,1,1,1,88,93,28,5,1,3,74,78,3,3,2,0,84,86,8,5,1,1,80,81,3,3,2,0,50,30,30,45,,55,65,50,40,55,,60,4-seam,Curveball,Changeup,Slider,,1850,568,108,3538,43
04/20/2018,Stiever,Jonathan,"Stiever, Jonathan",Y,2,5,138,White Sox,P,,Jr.,Charlie_Riggs,"Indiana University, Bloomington",Big 10,73,188,R,R,The Ohio State University,Big 10,"Indiana University, Bloomington_AT_The Ohio State University_04/21/2018",7,116,5,0,0,5,8,5,62.9,0,2,3,86,93,34,3,2,1,77,82,13,2,2,0,79,83,5,1,1,0,,,,,,,60,40,,40,,40,65,50,,50,,55,4-Seam,Curveball,Changeup,,,2736,1750,16,2921,45
03/10/2018,Campbell,Ryan,"Campbell, Ryan",Y,2,5,139,Reds,P,,Sr.,Robert_Frey,University of Illinois at Chicago,Horizon League,75,220,R,R,Chicago State University,Western Athletic Conference,Chicago State University_AT_University of Illinois at Chicago,9,,6,0,0,1,16,5,71.3,5,1,,86,92,27,2,1,3,82,84,3,0,2,,81,86,9,2,3,1,,,,,,,40,,40,50,,50,50,,40,50,,55,,,,,,848,96,17,1364,43
03/22/2018,Feigl,Brady,"Feigl, Brady",Y,2,5,143,Athletics,P,,RS-Jr.,Tyler Tumbleson,University of Mississippi,Southeastern,74,230,R,R,Texas A&M,Southeastern,University of Mississippi_AT_Texas A&M_03/23/2018,6.3,,5,6,2,3,13,2,57.00%,3,2,0,89,95,18,2,1,3,78,82,14,4,2,1,83,88,1,1,1,0,,,,,,,50,40,,40,,35,50,45,,40,,45,,,,,,1407,507,94,2078,41
02/26/2018,Hoffman,Nolan,"Hoffman, Nolan",Y,2,5,148,Mariners,P,,Jr.,Tyler Tumbleson,Texas A&M,Southeastern,76,190,R,R,Houston Baptist University,Southland,Houston Baptist University_AT_Texas A&M_02/27/2018,2,,2,0,1,0,2,2,82.8,1,1,0,86,91,13,3,1,2,74,77,2,0,1,0,84,85,1,0,0,0,,,,,,,45,40,,35,,45,45,50,,40,,50,,,,,,2582,78,68,1281,51
03/04/2018,Mercer,Matt,"Mercer, Matt",Y,2,5,159,Diamondbacks,P,,Sr,Meagan Riordan,University of Oregon,Pacific 12,73,185,R,,Florida Atlantic University,Conference USA,Florida Atlantic University_AT_University of Oregon,7,,3,1,0,3,8,5,61,2,0,1,91,95,25,8,1,9,80,83,7,2,2,3,71,79,1,0,1,0,,,,,,,65,,60,60,,55,70,,65,65,,65,,,,,,355,180,36,1945,48
03/02/2018,Mercer,Matt,"Mercer, Matt",Y,2,5,159,Diamondbacks,P,,Jr.,"Mulleavey, Jake",University of Oregon,Pacific-12 Conference,73,185,R,R,Florida Atlantic University,Conference USA,Florida Atlantic University_AT_University of Oregon,7.3,,4,1,,3,6,5,26,1,1,2,92,96,28,5,0,1,72,76,2,0,0,1,80,84,9,3,2,2,82,85,2,1,0,0,45,35,40,30,,40,55,45,50,35,,50,,,,,,355,6,30,1941,36
02/18/2018,Mercer,Matt,"Mercer, Matt",Y,2,5,159,Diamondbacks,P,,Fr.,Zane Moran,East Tennessee State University,Southern Conference,,,L,L,Northern Kentucky University,Horizon League,Northern Kentucky University_at_East Tennessee State University,3,,6,3,0,1,1,6,63.2,4,1,1,79,86,17,1,0,4,70,74,8,6,0,0,75,78,4,2,0,1,,,,,,,20,40,,35,,35,35,45,,40,,45,,,,,,355,94,78,,40
04/19/2018,Ward,Thad,"Ward, Thad",Y,2,5,160,Red Sox,P,,Jr.,Jamie Quolas,University of Central Florida,American Athletic Conference,75,182,R,R,University of South Florida,American Athletic Conference,University of Central Florida_AT_University of South Florida_04/20/2018,3,34,0,0,0,1,2,3,0.697,0,0,0,91,94,5,2,0,0,83,85,6,3,1,0,81,81,0,0,0,0,,,,,,,55,,45,40,,50,60,,55,45,,55,Four-Seam,Slider,Change-up,,"Thad Ward is tall, lanky, large frame with some room to add mass to both his upper and lower half. He is flexible and has good hip to shoulder separation. His fastball is deceptive with good perceived velocity due to his long stride and extended ball release. He showed good command of his slider. With further development of his slider, Thad projects as a mid-closer with a plus fastball and above average slider.",2792,624,46,8703,49
02/23/2018,Deason,Cody,"Deason, Cody",Y,2,5,162,Astros,P,,Jr.,"McCann, Ruairi",University of Arizona,Pacific2 Conference,75,206,R,R,San Diego State University,Mountain West,University of Arizona_AT_San Diego State University_02/23/2018,5.33,,6,2,0,2,4,4,63.5,3,1,2,89,94,39,7,1,5,76,81,11,3,3,1,82,84,1,0,0,0,,,,,,,55,50,,45,,50,65,60,,55,,60,,,,,,2303,566,54,869,48
02/23/2018,Deason,Cody,"Deason, Cody",Y,2,5,162,Astros,P,,Jr.,Scott Naughton,University of Arizona,Pacific-12 Conference,75,206,R,R,San Diego State University,Mountain West Conference,University of Arizona_at_San Diego State University,5.33,,6,2,0,2,3,4,62,3,1,2,89,93,35,8,0,4,75,80,9,3,2,1,83,86,1,1,0,0,,,,,,,60,40,,35,,45,65,50,,45,,55,,,,,,2303,1262,82,858,51
03/02/2018,Deason,Cody,"Deason, Cody",Y,2,5,162,Astros,P,,Jr.,Tommy_Moran,University of Arizona,Pacific-12 Conference,75,206,R,R,"University of Minnesota, Twin Cities",Big 10,"University of Arizona_AT_University of Minnesota, Twin Cities_03/02/2018",7,,3,0,0,4,9,4,67,2,1,0,88,94,32,6,0,3,75,80,6,1,0,1,82,86,9,3,0,1,,,,,,,60,60,,50,,60,65,65,,55,,65,,,,,,2303,568,108,1004,52
